x y z
-129.541915 -40.514054 112.699499
-129.541915 -38.002017 122.175150
-129.541915 -35.489980 112.076883
-129.541915 -32.977943 112.470524
-129.541915 -30.465906 107.365941
-129.541915 -27.953869 104.887312
-129.541915 -25.441833 99.340429
-129.541915 -22.929796 105.177121
-129.541915 -20.417759 101.872557
-129.541915 -17.905722 97.977923
-129.541915 -15.393685 100.785555
-129.541915 -12.881648 100.095190
-129.541915 -10.369611 95.481664
-129.541915 -7.857574 98.594672
-129.541915 -5.345537 87.130789
-129.541915 -2.833500 90.055570
-129.541915 -0.321463 99.786058
-129.541915 2.190573 78.762254
-129.541915 4.702610 76.999430
-129.541915 7.214647 76.600044
-129.541915 9.726684 76.697681
-129.541915 12.238721 75.728858
-129.541915 14.750758 81.976781
-129.541915 17.262795 83.171226
-129.541915 19.774832 88.542802
-129.541915 22.286869 74.896926
-129.541915 24.798906 77.810018
-129.541915 27.310943 68.723938
-129.541915 29.822980 66.913313
-129.541915 32.335016 67.060490
-129.541915 34.847053 65.721198
-129.541915 37.359090 64.267095
-129.541915 39.871127 62.765280
-129.541915 42.383164 60.858381
-129.541915 44.895201 65.927810
-129.541915 47.407238 65.255437
-129.541915 49.919275 58.555869
-129.541915 52.431312 68.789771
-129.541915 54.943349 67.486438
-129.541915 57.455386 66.917663
-129.541915 59.967422 65.009630
-129.541915 62.479459 62.632555
-129.541915 64.991496 63.014299
-129.541915 67.503533 58.903286
-129.541915 70.015570 59.142853
-129.541915 72.527607 57.912058
-129.541915 75.039644 57.587882
-129.541915 77.551681 53.473127
-129.541915 80.063718 55.383709
-129.541915 82.575755 53.447843
-129.541915 85.087792 48.163853
-129.541915 87.599829 47.420763
-129.541915 90.111865 49.145344
-129.541915 92.623902 42.489227
-129.541915 95.135939 40.110959
-129.541915 97.647976 39.895550
-129.541915 100.160013 45.698093
-129.541915 102.672050 41.093080
-129.541915 105.184087 33.840343
-129.541915 107.696124 32.638287
-129.541915 110.208161 32.250920
-129.541915 112.720198 30.316960
-129.541915 115.232235 30.703681
-129.541915 117.744271 31.668848
-129.541915 120.256308 31.882123
-129.541915 122.768345 30.402364
-129.541915 125.280382 28.978965
-129.541915 127.792419 27.529574
-129.541915 130.304456 26.076255
-129.541915 132.816493 24.622631
-129.541915 135.328530 23.170681
-129.541915 137.840567 21.691732
-129.541915 140.352604 19.890346
-129.541915 142.864641 20.676463
-129.541915 145.376677 20.137201
-129.541915 147.888714 19.344174
-129.541915 150.400751 17.832210
-129.541915 152.912788 18.525127
-129.541915 155.424825 16.720917
-129.541915 157.936862 15.287128
-129.541915 160.448899 13.833778
-126.814746 -78.194608 138.912132
-126.814746 -75.682571 139.577203
-126.814746 -73.170534 142.082746
-126.814746 -70.658497 137.773199
-126.814746 -68.146460 136.785094
-126.814746 -65.634423 136.898934
-126.814746 -63.122386 133.558298
-126.814746 -60.610349 136.991118
-126.814746 -58.098312 130.492597
-126.814746 -55.586275 121.818389
-126.814746 -53.074239 119.258841
-126.814746 -50.562202 129.600063
-126.814746 -48.050165 127.986224
-126.814746 -45.538128 127.071445
